YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,DataValueUnit,DataValueType,DataValue,DataValueAlt,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1
2019,2019,NE,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.9,11.9,,6.7,20.3,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH2_0,CRDPREV,RACE,BLK
2020,2020,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.3,,2.6,4,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2021,2021,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,5.4,,5.1,5.7,Overall,Overall,POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2017,2017,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.5,5.5,,5,5.9,Gender,Female,POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2013,2013,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.7,,2.5,4.8,Race/Ethnicity,Hispanic,POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH1_0,AGEADJMEAN,RACE,HIS
2014,2014,OR,Oregon,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.9,,3.6,4.2,Race/Ethnicity,"White, non-Hispanic",POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH1_0,MEAN,RACE,WHT
2011,2011,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,,3.9,4.4,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2013,2013,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,,3.8,4.3,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2011,2011,NE,Nebraska,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.3,12.3,,8.6,17.3,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH2_0,CRDPREV,RACE,HIS
2012,2012,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.2,,2.9,3.4,Gender,Male,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,AGEADJMEAN,GENDER,GENM
2012,2012,PA,Pennsylvania,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.7,16.7,,14.8,18.8,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2018,2018,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.5,,3.1,3.8,Gender,Male,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,MEAN,GENDER,GENM
2011,2011,US,United States,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,,59,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,4.1,,3.9,4.3,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,MEAN,OVERALL,OVR
2014,2014,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,4.4,,3.7,5.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,MEAN,RACE,BLK
2020,2020,PA,Pennsylvania,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,5.8,,5.3,6.3,Gender,Female,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2011,2011,NV,Nevada,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-117.07184056399967 39.493240390000494),32,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,VA,Virginia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-78.45789046299967 37.54268067400045),51,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,IN,Indiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-86.14996019399968 39.766910452000445),18,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NH,New Hampshire,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-71.50036091999965 43.65595011300047),33,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MS,Mississippi,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-89.53803082499968 32.745510099000455),28,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,FL,Florida,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-81.92896053899966 28.932040377000476),12,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,LA,Louisiana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-92.44568007099969 31.31266064400046),22,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,SC,South Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-81.04537120699968 33.998821303000454),45,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,WA,Washington,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12,12,,9.8,14.6,Overall,Overall,POINT (-120.47001078999972 47.52227862900048),53,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,GA,Georgia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,8.2,8.2,,6.2,10.7,Overall,Overall,POINT (-83.62758034599966 32.83968109300048),13,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MI,Michigan,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.4,9.4,,7.8,11.3,Overall,Overall,POINT (-84.71439026999968 44.6613195430005),26,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,CT,Connecticut,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-72.64984095199964 41.56266102000046),9,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MT,Montana,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-109.42442064499971 47.06652897200047),30,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,OR,Oregon,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.6,12.6,,10.4,15.2,Overall,Overall,POINT (-120.15503132599969 44.56744942400047),41,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,AR,Arkansas,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,18,18,,14.8,21.6,Overall,Overall,POINT (-92.27449074299966 34.74865012400045),5,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NM,New Mexico,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.2,12.2,,10.6,14,Overall,Overall,POINT (-106.24058098499967 34.52088095200048),35,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,WY,Wyoming,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,11.3,11.3,,8.8,14.4,Overall,Overall,POINT (-108.10983035299967 43.23554134300048),56,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NJ,New Jersey,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,7.2,7.2,,5.8,8.8,Overall,Overall,POINT (-74.27369128799967 40.13057004800049),34,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,AK,Alaska,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-147.72205903599973 64.84507995700051),2,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,IA,Iowa,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-93.81649055599968 42.46940091300047),19,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,ME,Maine,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.4,9.4,,7.5,11.7,Overall,Overall,POINT (-68.98503133599962 45.254228894000505),23,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,CO,Colorado,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.9,9.9,,8.2,11.8,Overall,Overall,POINT (-106.13361092099967 38.843840757000464),8,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,SD,South Dakota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-100.3735306369997 44.353130053000484),46,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,TX,Texas,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-99.42677020599967 31.827240407000488),48,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,KY,Kentucky,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-84.77497104799966 37.645970271000465),21,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,OK,Oklahoma,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,14.9,14.9,,12.2,18.1,Overall,Overall,POINT (-97.52107021399968 35.47203135600046),40,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,AL,Alabama,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-86.63186076199969 32.84057112200048),1,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NC,North Carolina,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-79.15925046299964 35.466220975000454),37,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,GU,Guam,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (144.793731 13.444304),66,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,VT,Vermont,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.7,9.7,,8.1,11.7,Overall,Overall,POINT (-72.51764079099962 43.62538123900049),50,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,ID,Idaho,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-114.3637300419997 43.682630005000476),16,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,OH,Ohio,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-82.40426005599966 40.06021014100048),39,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,WV,West Virginia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,13.5,13.5,,11.5,15.7,Overall,Overall,POINT (-80.71264013499967 38.66551020200046),54,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2015,2015,PR,Puerto Rico,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,,,No data available,,,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-66.590149 18.220833),72,MTH,MTH1_0,MEAN,RACE,MRC
2011,2011,ND,North Dakota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-100.11842104899966 47.47531977900047),38,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,CA,California,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-120.99999953799971 37.63864012300047),6,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,DE,Delaware,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-75.57774116799965 39.008830667000495),10,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,TN,Tennessee,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-85.77449091399967 35.68094058000048),47,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MD,Maryland,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,7.3,7.3,,5.5,9.5,Overall,Overall,POINT (-76.60926011099963 39.29058096400047),24,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,VI,Virgin Islands,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-64.896335 18.335765),78,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,KS,Kansas,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-98.20078122699965 38.34774030000045),20,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,HI,Hawaii,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,6.9,6.9,,5.5,8.7,Overall,Overall,POINT (-157.85774940299973 21.304850435000446),15,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NE,Nebraska,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,10.5,10.5,,8.8,12.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,IL,Illinois,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-88.99771017799969 40.48501028300046),17,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,NY,New York,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,9.8,9.8,,7.7,12.3,Overall,Overall,POINT (-75.54397042699964 42.82700103200045),36,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,UT,Utah,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,15.3,15.3,,13.3,17.5,Overall,Overall,POINT (-111.58713063499971 39.360700171000474),49,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MA,Massachusetts,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-72.08269067499964 42.27687047000046),25,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MO,Missouri,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,12.1,12.1,,10.1,14.4,Overall,Overall,POINT (-92.56630005299968 38.635790776000476),29,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,PR,Puerto Rico,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-66.590149 18.220833),72,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,AZ,Arizona,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-111.76381127699972 34.865970280000454),4,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,RI,Rhode Island,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,10.3,10.3,,8.5,12.5,Overall,Overall,POINT (-71.52247031399963 41.70828019300046),44,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,PA,Pennsylvania,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,10.3,10.3,,8.4,12.5,Overall,Overall,POINT (-77.86070029399963 40.79373015200048),42,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,MN,Minnesota,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,8.4,8.4,,6.8,10.2,Overall,Overall,POINT (-94.79420050299967 46.35564873600049),27,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,DC,District of Columbia,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,,,No data available,,,Overall,Overall,POINT (-77.036871 38.907192),11,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2011,2011,WI,Wisconsin,PRAMS,Mental Health,Postpartum depressive symptoms,%,Crude Prevalence,10.3,10.3,,8.2,12.9,Overall,Overall,POINT (-89.81637074199966 44.39319117400049),55,MTH,MTH3_0,CRDPREV,OVERALL,OVR
2020,2020,NE,Nebraska,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,4.8,,4.5,5.1,Gender,Female,POINT (-99.36572062299967 41.6410409880005),31,MTH,MTH1_0,AGEADJMEAN,GENDER,GENF
2012,2012,ND,North Dakota,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.8,,2.5,3,Overall,Overall,POINT (-100.11842104899966 47.47531977900047),38,MTH,MTH1_0,MEAN,OVERALL,OVR
2018,2018,RI,Rhode Island,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,4.1,,3.8,4.5,Overall,Overall,POINT (-71.52247031399963 41.70828019300046),44,MTH,MTH1_0,AGEADJMEAN,OVERALL,OVR
2021,2021,SC,South Carolina,BRFSS,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,27.2,27.2,,23.9,30.8,Overall,Overall,POINT (-81.04537120699968 33.998821303000454),45,MTH,MTH2_0,CRDPREV,OVERALL,OVR
2020,2020,AL,Alabama,BRFSS,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5,5,,2.4,7.6,Race/Ethnicity,Hispanic,POINT (-86.63186076199969 32.84057112200048),1,MTH,MTH1_0,MEAN,RACE,HIS
