Year,State,Question,DataValueType,DataValue,Gender
2011,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2011,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2012,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2012,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2013,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2013,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2014,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2014,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2015,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2015,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2016,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2016,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2017,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2017,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2018,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2018,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2019,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2019,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2020,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2020,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2021,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2021,Connecticut,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2011,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2011,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2012,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2012,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2013,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2013,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2014,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2014,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2015,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2015,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2016,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2016,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2017,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2017,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2018,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2018,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2019,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2019,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2020,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2020,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2021,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2021,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2011,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2011,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2012,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2012,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2013,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2013,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2014,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2014,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2015,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2015,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2016,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2016,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2017,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Female
2017,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2018,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2018,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2019,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2019,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2020,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,Female
2020,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Male
2021,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,Female
2021,District of Columbia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Male
2011,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2011,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Male
2012,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2012,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2013,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2013,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2014,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2014,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2015,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2015,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2016,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2016,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2017,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2017,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2018,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2018,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2019,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Female
2019,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2020,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2020,Florida,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2011,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2011,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2012,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2012,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2013,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2013,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2014,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2014,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2015,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2015,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2016,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2016,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2017,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2017,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2018,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2018,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2019,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Female
2019,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Male
2020,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Female
2020,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2021,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2021,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Male
2011,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Female
2011,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2012,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Female
2012,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2013,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Female
2013,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2014,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2014,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2015,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Female
2015,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
2016,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2016,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2017,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2018,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Female
2018,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2019,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Male
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Female
2020,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2021,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2021,Guam,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Female
2011,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2012,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2012,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Female
2013,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Male
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Female
2014,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,Male
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Female
2015,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Female
2016,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2017,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Female
2018,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2019,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Male
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2020,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Female
2021,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2011,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2012,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2012,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Female
2013,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2014,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2014,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,Male
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Female
2015,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2016,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Male
2017,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2017,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2018,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2018,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Male
2019,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,Female
2019,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Male
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,Female
2020,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Female
2021,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Female
2011,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Male
2012,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Female
2012,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2013,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,Male
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Female
2014,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2015,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Female
2016,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.0,Male
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Female
2017,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Male
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,Female
2018,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Male
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Female
2019,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,Male
