Year,State,Question,DataValueType,DataValue,Race/Ethnicity
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,"Multiracial, non-Hispanic"
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.9,"Other, non-Hispanic"
2017,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"White, non-Hispanic"
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Multiracial, non-Hispanic"
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"Other, non-Hispanic"
2018,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"White, non-Hispanic"
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Black, non-Hispanic"
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,Hispanic
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.4,"Multiracial, non-Hispanic"
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Other, non-Hispanic"
2019,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,"White, non-Hispanic"
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Black, non-Hispanic"
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,Hispanic
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,"Multiracial, non-Hispanic"
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Other, non-Hispanic"
2020,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"White, non-Hispanic"
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"Black, non-Hispanic"
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.5,Hispanic
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.2,"Multiracial, non-Hispanic"
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.2,"Other, non-Hispanic"
2021,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,"White, non-Hispanic"
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,Hispanic
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,"Other, non-Hispanic"
2011,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"White, non-Hispanic"
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Hispanic
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Multiracial, non-Hispanic"
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"Other, non-Hispanic"
2013,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"White, non-Hispanic"
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Hispanic
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Multiracial, non-Hispanic"
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.7,"Other, non-Hispanic"
2014,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"White, non-Hispanic"
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Hispanic
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Multiracial, non-Hispanic"
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2015,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"White, non-Hispanic"
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Multiracial, non-Hispanic"
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"Other, non-Hispanic"
2016,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2017,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Multiracial, non-Hispanic"
2017,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Other, non-Hispanic"
2017,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,Hispanic
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.4,"Multiracial, non-Hispanic"
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"Other, non-Hispanic"
2018,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2019,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Multiracial, non-Hispanic"
2019,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"Other, non-Hispanic"
2019,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Hispanic
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Multiracial, non-Hispanic"
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Other, non-Hispanic"
2020,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Black, non-Hispanic"
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.7,Hispanic
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.2,"Multiracial, non-Hispanic"
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Other, non-Hispanic"
2021,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Black, non-Hispanic"
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Hispanic
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Other, non-Hispanic"
2011,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Black, non-Hispanic"
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,Hispanic
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Other, non-Hispanic"
2013,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"White, non-Hispanic"
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Black, non-Hispanic"
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,"Multiracial, non-Hispanic"
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Other, non-Hispanic"
2014,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"White, non-Hispanic"
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.3,"Multiracial, non-Hispanic"
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Other, non-Hispanic"
2015,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Black, non-Hispanic"
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.9,"Multiracial, non-Hispanic"
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Other, non-Hispanic"
2016,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"White, non-Hispanic"
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Black, non-Hispanic"
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Hispanic
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Multiracial, non-Hispanic"
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Other, non-Hispanic"
2017,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"White, non-Hispanic"
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Black, non-Hispanic"
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Hispanic
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.3,"Multiracial, non-Hispanic"
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Other, non-Hispanic"
2018,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"White, non-Hispanic"
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Black, non-Hispanic"
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,Hispanic
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.5,"Multiracial, non-Hispanic"
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Other, non-Hispanic"
2019,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"White, non-Hispanic"
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,"Black, non-Hispanic"
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,"Multiracial, non-Hispanic"
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"Other, non-Hispanic"
2020,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"White, non-Hispanic"
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.0,"Black, non-Hispanic"
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,Hispanic
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.7,"Multiracial, non-Hispanic"
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Other, non-Hispanic"
2021,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"White, non-Hispanic"
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.6,"Black, non-Hispanic"
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.6,"Multiracial, non-Hispanic"
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"Other, non-Hispanic"
2011,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"White, non-Hispanic"
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.4,"Multiracial, non-Hispanic"
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Other, non-Hispanic"
2013,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"White, non-Hispanic"
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Black, non-Hispanic"
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,Hispanic
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.5,"Multiracial, non-Hispanic"
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,"Other, non-Hispanic"
2014,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"White, non-Hispanic"
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Black, non-Hispanic"
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,Hispanic
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Multiracial, non-Hispanic"
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Other, non-Hispanic"
2015,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"White, non-Hispanic"
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Black, non-Hispanic"
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.1,"Multiracial, non-Hispanic"
2016,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"White, non-Hispanic"
2017,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Black, non-Hispanic"
2017,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.7,"Multiracial, non-Hispanic"
2017,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"White, non-Hispanic"
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.7,Hispanic
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.8,"Multiracial, non-Hispanic"
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.2,"Other, non-Hispanic"
2018,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"White, non-Hispanic"
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Black, non-Hispanic"
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,8.2,"Multiracial, non-Hispanic"
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Other, non-Hispanic"
2019,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,"White, non-Hispanic"
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.5,"Black, non-Hispanic"
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,Hispanic
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,9.4,"Multiracial, non-Hispanic"
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Other, non-Hispanic"
2020,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"White, non-Hispanic"
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"Black, non-Hispanic"
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,Hispanic
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,10.3,"Multiracial, non-Hispanic"
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.0,"Other, non-Hispanic"
2021,Arkansas,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.6,"White, non-Hispanic"
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Black, non-Hispanic"
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,Hispanic
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.6,"Multiracial, non-Hispanic"
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"Other, non-Hispanic"
2011,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"White, non-Hispanic"
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Black, non-Hispanic"
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,Hispanic
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Multiracial, non-Hispanic"
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"Other, non-Hispanic"
2013,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"Black, non-Hispanic"
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Hispanic
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Other, non-Hispanic"
2014,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Black, non-Hispanic"
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Hispanic
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.7,"Multiracial, non-Hispanic"
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Other, non-Hispanic"
2015,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Black, non-Hispanic"
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.3,"Multiracial, non-Hispanic"
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,"Other, non-Hispanic"
2016,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Black, non-Hispanic"
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.9,"Multiracial, non-Hispanic"
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.9,"Other, non-Hispanic"
2017,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"White, non-Hispanic"
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.2,"Black, non-Hispanic"
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,Hispanic
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.8,"Other, non-Hispanic"
2018,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"White, non-Hispanic"
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Black, non-Hispanic"
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,Hispanic
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Multiracial, non-Hispanic"
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Other, non-Hispanic"
2019,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Black, non-Hispanic"
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,Hispanic
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.1,"Multiracial, non-Hispanic"
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.3,"Other, non-Hispanic"
2020,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.3,"White, non-Hispanic"
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.8,"Black, non-Hispanic"
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.3,"Multiracial, non-Hispanic"
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.6,"Other, non-Hispanic"
2021,California,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.0,"White, non-Hispanic"
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.8,"Black, non-Hispanic"
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Hispanic
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,7.0,"Multiracial, non-Hispanic"
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,2.6,"Other, non-Hispanic"
2011,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Black, non-Hispanic"
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.0,"Multiracial, non-Hispanic"
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Other, non-Hispanic"
2013,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"White, non-Hispanic"
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Black, non-Hispanic"
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,Hispanic
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.5,"Multiracial, non-Hispanic"
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"Other, non-Hispanic"
2014,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.1,"White, non-Hispanic"
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.2,"Black, non-Hispanic"
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.1,"Multiracial, non-Hispanic"
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.5,"Other, non-Hispanic"
2015,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"White, non-Hispanic"
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Black, non-Hispanic"
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,Hispanic
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.4,"Multiracial, non-Hispanic"
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"Other, non-Hispanic"
2016,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,"White, non-Hispanic"
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.9,"Black, non-Hispanic"
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,Hispanic
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.7,"Multiracial, non-Hispanic"
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Other, non-Hispanic"
2017,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.6,"Black, non-Hispanic"
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,Hispanic
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,6.8,"Multiracial, non-Hispanic"
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.8,"Other, non-Hispanic"
2018,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.7,"White, non-Hispanic"
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,5.4,"Black, non-Hispanic"
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.4,Hispanic
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.2,"Multiracial, non-Hispanic"
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,3.3,"Other, non-Hispanic"
2019,Colorado,Recent mentally unhealthy days among adults aged >= 18 years,Mean,4.1,"White, non-Hispanic"
