Year,StateAbbr,State,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation
2011,NM,New Mexico,Postpartum depressive symptoms,%,Crude Prevalence,12.2,10.6,14.0,Overall,Overall,POINT (-106.24058098499967 34.52088095200048)
2011,WY,Wyoming,Postpartum depressive symptoms,%,Crude Prevalence,11.3,8.8,14.4,Overall,Overall,POINT (-108.10983035299967 43.23554134300048)
2011,NJ,New Jersey,Postpartum depressive symptoms,%,Crude Prevalence,7.2,5.8,8.8,Overall,Overall,POINT (-74.27369128799967 40.13057004800049)
2011,ME,Maine,Postpartum depressive symptoms,%,Crude Prevalence,9.4,7.5,11.7,Overall,Overall,POINT (-68.98503133599962 45.254228894000505)
2011,CO,Colorado,Postpartum depressive symptoms,%,Crude Prevalence,9.9,8.2,11.8,Overall,Overall,POINT (-106.13361092099967 38.843840757000464)
2011,OK,Oklahoma,Postpartum depressive symptoms,%,Crude Prevalence,14.9,12.2,18.1,Overall,Overall,POINT (-97.52107021399968 35.47203135600046)
2011,VT,Vermont,Postpartum depressive symptoms,%,Crude Prevalence,9.7,8.1,11.7,Overall,Overall,POINT (-72.51764079099962 43.62538123900049)
2011,WV,West Virginia,Postpartum depressive symptoms,%,Crude Prevalence,13.5,11.5,15.7,Overall,Overall,POINT (-80.71264013499967 38.66551020200046)
2011,MD,Maryland,Postpartum depressive symptoms,%,Crude Prevalence,7.3,5.5,9.5,Overall,Overall,POINT (-76.60926011099963 39.29058096400047)
2011,HI,Hawaii,Postpartum depressive symptoms,%,Crude Prevalence,6.9,5.5,8.7,Overall,Overall,POINT (-157.85774940299973 21.304850435000446)
2011,NE,Nebraska,Postpartum depressive symptoms,%,Crude Prevalence,10.5,8.8,12.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2011,NY,New York,Postpartum depressive symptoms,%,Crude Prevalence,9.8,7.7,12.3,Overall,Overall,POINT (-75.54397042699964 42.82700103200045)
2011,UT,Utah,Postpartum depressive symptoms,%,Crude Prevalence,15.3,13.3,17.5,Overall,Overall,POINT (-111.58713063499971 39.360700171000474)
2011,MO,Missouri,Postpartum depressive symptoms,%,Crude Prevalence,12.1,10.1,14.4,Overall,Overall,POINT (-92.56630005299968 38.635790776000476)
2011,RI,Rhode Island,Postpartum depressive symptoms,%,Crude Prevalence,10.3,8.5,12.5,Overall,Overall,POINT (-71.52247031399963 41.70828019300046)
2011,PA,Pennsylvania,Postpartum depressive symptoms,%,Crude Prevalence,10.3,8.4,12.5,Overall,Overall,POINT (-77.86070029399963 40.79373015200048)
2011,MN,Minnesota,Postpartum depressive symptoms,%,Crude Prevalence,8.4,6.8,10.2,Overall,Overall,POINT (-94.79420050299967 46.35564873600049)
2011,WI,Wisconsin,Postpartum depressive symptoms,%,Crude Prevalence,10.3,8.2,12.9,Overall,Overall,POINT (-89.81637074199966 44.39319117400049)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,4.5,5.1,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2012,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.5,3.0,Overall,Overall,POINT (-100.11842104899966 47.47531977900047)
2018,RI,Rhode Island,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.8,4.5,Overall,Overall,POINT (-71.52247031399963 41.70828019300046)
2021,SC,South Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,27.2,23.9,30.8,Overall,Overall,POINT (-81.04537120699968 33.998821303000454)
2020,AL,Alabama,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.0,2.4,7.6,Race/Ethnicity,Hispanic,POINT (-86.63186076199969 32.84057112200048)
2021,RI,Rhode Island,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.1,4.6,5.5,Gender,Female,POINT (-71.52247031399963 41.70828019300046)
2019,AR,Arkansas,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,27.2,22.7,32.3,Overall,Overall,POINT (-92.27449074299966 34.74865012400045)
2021,RI,Rhode Island,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.1,4.7,Race/Ethnicity,Hispanic,POINT (-71.52247031399963 41.70828019300046)
2019,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.2,3.7,4.7,Gender,Male,POINT (-111.76381127699972 34.865970280000454)
2018,AZ,Arizona,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.3,14.2,20.8,Race/Ethnicity,"White, non-Hispanic",POINT (-111.76381127699972 34.865970280000454)
2020,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.9,4.6,5.3,Gender,Female,POINT (-111.76381127699972 34.865970280000454)
2020,AZ,Arizona,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.3,3.9,6.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-111.76381127699972 34.865970280000454)
2019,CT,Connecticut,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.8,11.5,16.6,Overall,Overall,POINT (-72.64984095199964 41.56266102000046)
2014,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.2,3.9,Overall,Overall,POINT (-75.57774116799965 39.008830667000495)
2016,DE,Delaware,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.6,3.7,Gender,Male,POINT (-75.57774116799965 39.008830667000495)
2016,FL,Florida,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,9.4,7.6,11.6,Race/Ethnicity,Hispanic,POINT (-81.92896053899966 28.932040377000476)
2021,GA,Georgia,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.6,4.4,Gender,Male,POINT (-83.62758034599966 32.83968109300048)
2013,GU,Guam,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.2,8.3,14.9,Overall,Overall,POINT (144.793731 13.444304)
2021,HI,Hawaii,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,3.6,4.3,Gender,Female,POINT (-157.85774940299973 21.304850435000446)
2018,IA,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.7,4.3,Gender,Female,POINT (-93.81649055599968 42.46940091300047)
2019,IA,Iowa,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,3.0,3.6,Gender,Male,POINT (-93.81649055599968 42.46940091300047)
2020,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,4.4,5.3,Overall,Overall,POINT (-81.04537120699968 33.998821303000454)
2011,ID,Idaho,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,2.4,4.9,Race/Ethnicity,Hispanic,POINT (-114.3637300419997 43.682630005000476)
2011,ID,Idaho,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,16.4,13.1,20.2,Race/Ethnicity,"White, non-Hispanic",POINT (-114.3637300419997 43.682630005000476)
2018,IL,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,2.9,3.6,Gender,Male,POINT (-88.99771017799969 40.48501028300046)
2019,IL,Illinois,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.3,3.8,8.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-88.99771017799969 40.48501028300046)
2013,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.4,11.3,15.7,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.2,4.8,5.5,Gender,Female,POINT (-81.04537120699968 33.998821303000454)
2011,IN,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.1,5.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-86.14996019399968 39.766910452000445)
2020,IN,Indiana,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.3,4.0,Gender,Male,POINT (-86.14996019399968 39.766910452000445)
2019,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.5,4.6,Race/Ethnicity,"Black, non-Hispanic",POINT (-81.04537120699968 33.998821303000454)
2020,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,9.0,5.8,12.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.04537120699968 33.998821303000454)
2017,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,5.0,5.8,Gender,Female,POINT (-81.04537120699968 33.998821303000454)
2018,LA,Louisiana,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,21.0,18.0,24.3,Race/Ethnicity,"White, non-Hispanic",POINT (-92.44568007099969 31.31266064400046)
2021,MA,Massachusetts,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,19.2,11.1,31.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-72.08269067499964 42.27687047000046)
2013,MD,Maryland,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.0,11.3,17.4,Race/Ethnicity,"White, non-Hispanic",POINT (-76.60926011099963 39.29058096400047)
2018,ME,Maine,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.6,4.2,4.9,Overall,Overall,POINT (-68.98503133599962 45.254228894000505)
2014,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.3,4.5,8.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-81.04537120699968 33.998821303000454)
2016,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,4.1,4.6,Overall,Overall,POINT (-81.04537120699968 33.998821303000454)
2012,MI,Michigan,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,20.3,17.6,23.2,Overall,Overall,POINT (-84.71439026999968 44.6613195430005)
2015,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.9,4.5,Race/Ethnicity,"White, non-Hispanic",POINT (-81.04537120699968 33.998821303000454)
2011,MO,Missouri,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.0,3.9,Gender,Male,POINT (-92.56630005299968 38.635790776000476)
2016,MO,Missouri,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,18.1,14.6,22.2,Overall,Overall,POINT (-92.56630005299968 38.635790776000476)
2019,MS,Mississippi,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.7,14.1,22.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-89.53803082499968 32.745510099000455)
2020,MS,Mississippi,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.3,12.4,18.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-89.53803082499968 32.745510099000455)
2013,MT,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.6,3.1,Gender,Male,POINT (-109.42442064499971 47.06652897200047)
2014,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.4,3.9,Overall,Overall,POINT (-79.15925046299964 35.466220975000454)
2017,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.0,4.0,Gender,Male,POINT (-79.15925046299964 35.466220975000454)
2015,NC,North Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.2,12.2,18.8,Race/Ethnicity,"White, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2020,NC,North Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,5.5,3.4,8.8,Race/Ethnicity,Hispanic,POINT (-79.15925046299964 35.466220975000454)
2012,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,4.1,4.6,Gender,Female,POINT (-79.15925046299964 35.466220975000454)
2017,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,3.7,4.4,Overall,Overall,POINT (-79.15925046299964 35.466220975000454)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,3.3,3.7,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,2.6,5.5,Race/Ethnicity,"Other, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2013,NH,New Hampshire,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.8,3.4,4.1,Gender,Female,POINT (-71.50036091999965 43.65595011300047)
2018,NC,North Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.2,9.4,18.3,Race/Ethnicity,"Black, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2015,NC,North Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.8,7.4,18.3,Race/Ethnicity,Hispanic,POINT (-79.15925046299964 35.466220975000454)
2019,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.1,3.2,7.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2016,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,4.1,4.8,Gender,Female,POINT (-79.15925046299964 35.466220975000454)
2018,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.7,2.6,6.7,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2020,MT,Montana,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,2.9,3.5,Gender,Male,POINT (-109.42442064499971 47.06652897200047)
2016,OR,Oregon,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.9,4.6,5.3,Gender,Female,POINT (-120.15503132599969 44.56744942400047)
2021,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.4,4.1,4.8,Overall,Overall,POINT (-79.15925046299964 35.466220975000454)
2020,TN,Tennessee,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.0,4.6,5.4,Overall,Overall,POINT (-85.77449091399967 35.68094058000048)
2013,PR,Puerto Rico,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,2.9,3.8,Gender,Male,POINT (-66.590149 18.220833)
2011,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.6,2.4,2.8,Race/Ethnicity,"White, non-Hispanic",POINT (-100.11842104899966 47.47531977900047)
2019,RI,Rhode Island,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.3,4.5,12.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-71.52247031399963 41.70828019300046)
2017,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.5,3.1,Gender,Male,POINT (-100.11842104899966 47.47531977900047)
2014,SC,South Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,1.8,4.2,Race/Ethnicity,Hispanic,POINT (-81.04537120699968 33.998821303000454)
2011,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.5,4.0,Overall,Overall,POINT (-79.15925046299964 35.466220975000454)
2019,SD,South Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.3,4.2,Overall,Overall,POINT (-100.3735306369997 44.353130053000484)
2013,SD,South Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,2.5,4.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-100.3735306369997 44.353130053000484)
2021,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.9,4.4,7.5,Race/Ethnicity,"Other, non-Hispanic",POINT (-100.11842104899966 47.47531977900047)
2019,TN,Tennessee,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.0,4.6,5.3,Race/Ethnicity,"White, non-Hispanic",POINT (-85.77449091399967 35.68094058000048)
2014,TN,Tennessee,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,19.1,15.5,23.2,Overall,Overall,POINT (-85.77449091399967 35.68094058000048)
2014,TN,Tennessee,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.8,4.3,5.2,Race/Ethnicity,"White, non-Hispanic",POINT (-85.77449091399967 35.68094058000048)
2012,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,3.7,4.2,Race/Ethnicity,"White, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2021,TX,Texas,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.1,4.7,5.5,Gender,Female,POINT (-99.42677020599967 31.827240407000488)
2020,NH,New Hampshire,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,4.1,4.7,Race/Ethnicity,"White, non-Hispanic",POINT (-71.50036091999965 43.65595011300047)
2011,NC,North Carolina,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,18.2,13.1,24.7,Race/Ethnicity,"Black, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2019,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.9,4.4,5.3,Gender,Female,POINT (-79.15925046299964 35.466220975000454)
2017,TX,Texas,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.1,4.2,Race/Ethnicity,Hispanic,POINT (-99.42677020599967 31.827240407000488)
2021,NC,North Carolina,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.9,3.7,8.1,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-79.15925046299964 35.466220975000454)
2017,TN,Tennessee,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.3,4.8,5.8,Gender,Female,POINT (-85.77449091399967 35.68094058000048)
2019,CA,California,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.2,9.6,20.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-120.99999953799971 37.63864012300047)
2020,AK,Alaska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.4,1.9,2.8,Gender,Male,POINT (-147.72205903599973 64.84507995700051)
